model_name,plant_species,precision,recall,f1_score
mobilenet_122,Diplotaxis harra (Forssk.) Boiss.,0.6373626373626373,0.22137404580152673,0.3286118980169972
mobilenet_122,Echinops glaberrimus DC.,0.13725490196078433,0.15217391304347827,0.14432989690721648
mobilenet_122,Ephedra alata Decne.,0.08139534883720931,0.25,0.12280701754385964
mobilenet_122,Farsetia aegyptia Turra,0.40298507462686567,0.11946902654867257,0.18430034129692832
mobilenet_122,Gymnocarpos decander Forssk.,0.6728971962616822,0.26181818181818184,0.3769633507853403
mobilenet_122,Haloxylon salicornicum (Moq.) Bunge ex Boiss.,0.17307692307692307,0.05555555555555555,0.08411214953271028
mobilenet_122,Heliotropium arbainense Fresen.,0.4943820224719101,0.4036697247706422,0.4444444444444444
mobilenet_122,Iphiona mucronata (Forssk.) Asch. & Schweinf.,0.0,0.0,0.0
mobilenet_122,Limonium pruinosum (L.) Chaz.,0.5301204819277109,0.35772357723577236,0.42718446601941745
mobilenet_122,Lycium shawii Roem. & Schult.,0.2116564417177914,0.552,0.30598669623059865
mobilenet_122,Nitraria retusa (Forssk.) Asch.,0.2891566265060241,0.09795918367346938,0.14634146341463414
mobilenet_122,Ochradenus baccatus Delile,0.6290983606557377,0.6031434184675835,0.6158475426278837
mobilenet_122,Peganum harmala L.,0.10526315789473684,0.009615384615384616,0.01762114537444934
mobilenet_122,Rumex vesicarius L.,0.4423076923076923,0.11165048543689321,0.17829457364341086
mobilenet_122,Salsola imbricata Forssk.,0.6129032258064516,0.07630522088353414,0.1357142857142857
mobilenet_122,Stachys aegyptiaca Pers.,0.4307692307692308,0.208955223880597,0.2814070351758794
mobilenet_122,Suaeda aegyptiaca (Hasselq.) Zohary,0.08974358974358974,0.03723404255319149,0.05263157894736842
mobilenet_122,Tamarix nilotica (Ehrenb.) Bunge,0.3447204968944099,0.6453488372093024,0.4493927125506073
mobilenet_122,Trichodesma africanum (L.) Sm.,0.3,0.1375,0.18857142857142858
mobilenet_122,Zilla spinosa (L.) Prantl,0.8522727272727273,0.28901734104046245,0.4316546762589928
mobilenet_122,Zygophyllum arabicum (L.) Christenh. & Byng,0.10975609756097561,0.1935483870967742,0.14007782101167315
mobilenet_122,Zygophyllum coccineum L.,0.05405405405405406,0.2127659574468085,0.08620689655172414
mobilenet_122,Zygophyllum molle (Delile) Christenh. & Byng,0.0,0.0,0.0
mobilenet_122,Average Performance (Macro),0.3343491691076287,0.2028339544868189,0.2138422979063744
mobilenet_123,Anabasis articulata (Forssk.) Moq.,0.6923076923076923,0.14331210191082802,0.23746701846965698
mobilenet_123,Anabasis setifera Moq.,0.15384615384615385,0.33557046979865773,0.2109704641350211
mobilenet_123,Atriplex halimus L.,0.34375,0.44,0.38596491228070173
mobilenet_123,Calotropis procera (Aiton) W.T.Aiton,0.7547169811320755,0.19047619047619047,0.3041825095057034
mobilenet_123,Capparis spinosa L.,0.30344827586206896,0.2603550295857988,0.2802547770700637
mobilenet_123,Cebatha pendula (J.R.Forst. & G.Forst.) Kuntze,0.0684931506849315,0.044642857142857144,0.05405405405405406
mobilenet_123,"Cenchrus divisus (J.F.Gmel.) Verloove, Govaerts & Buttler",0.5333333333333333,0.09411764705882353,0.16
mobilenet_123,Deverra tortuosa (Desf.) DC.,0.1,0.015384615384615385,0.02666666666666667
mobilenet_123,Deverra triradiata Hochst. ex Boiss.,0.13636363636363635,0.1,0.11538461538461539
mobilenet_123,Diplotaxis harra (Forssk.) Boiss.,0.6979166666666666,0.25572519083969464,0.3743016759776536
mobilenet_123,Echinops glaberrimus DC.,0.19148936170212766,0.1956521739130435,0.1935483870967742
mobilenet_123,Ephedra alata Decne.,0.07936507936507936,0.17857142857142858,0.10989010989010989
mobilenet_123,Farsetia aegyptia Turra,0.43661971830985913,0.13716814159292035,0.20875420875420875
mobilenet_123,Gymnocarpos decander Forssk.,0.6952380952380952,0.26545454545454544,0.38421052631578945
mobilenet_123,Haloxylon salicornicum (Moq.) Bunge ex Boiss.,0.19607843137254902,0.06172839506172839,0.09389671361502347
mobilenet_123,Heliotropium arbainense Fresen.,0.5,0.4036697247706422,0.4467005076142132
mobilenet_123,Iphiona mucronata (Forssk.) Asch. & Schweinf.,0.0,0.0,0.0
mobilenet_123,Limonium pruinosum (L.) Chaz.,0.5581395348837209,0.3902439024390244,0.45933014354066987
mobilenet_123,Lycium shawii Roem. & Schult.,0.211864406779661,0.6,0.31315240083507306
mobilenet_123,Nitraria retusa (Forssk.) Asch.,0.25555555555555554,0.09387755102040816,0.1373134328358209
mobilenet_123,Ochradenus baccatus Delile,0.6215722120658135,0.6679764243614931,0.6439393939393939
mobilenet_123,Peganum harmala L.,0.06666666666666667,0.004807692307692308,0.008968609865470852
mobilenet_123,Rumex vesicarius L.,0.4722222222222222,0.0825242718446602,0.14049586776859505
mobilenet_123,Salsola imbricata Forssk.,0.6666666666666666,0.07228915662650602,0.13043478260869565
mobilenet_123,Stachys aegyptiaca Pers.,0.4915254237288136,0.21641791044776118,0.3005181347150259
mobilenet_123,Suaeda aegyptiaca (Hasselq.) Zohary,0.10606060606060606,0.03723404255319149,0.05511811023622047
mobilenet_123,Tamarix nilotica (Ehrenb.) Bunge,0.3576158940397351,0.627906976744186,0.45569620253164556
mobilenet_123,Trichodesma africanum (L.) Sm.,0.2463768115942029,0.14166666666666666,0.17989417989417988
mobilenet_123,Zilla spinosa (L.) Prantl,0.8324607329842932,0.3063583815028902,0.447887323943662
mobilenet_123,Zygophyllum arabicum (L.) Christenh. & Byng,0.1144578313253012,0.20430107526881722,0.14671814671814673
mobilenet_123,Zygophyllum coccineum L.,0.054455445544554455,0.23404255319148937,0.08835341365461848
mobilenet_123,Zygophyllum molle (Delile) Christenh. & Byng,0.0,0.0,0.0
mobilenet_123,Average Performance (Macro),0.3418314558219401,0.21254609739176752,0.22168960280992106
mobilenet_124,Anabasis articulata (Forssk.) Moq.,0.6285714285714286,0.14012738853503184,0.22916666666666666
mobilenet_124,Anabasis setifera Moq.,0.16778523489932887,0.33557046979865773,0.22371364653243847
mobilenet_124,Atriplex halimus L.,0.3739130434782609,0.43,0.4
mobilenet_124,Calotropis procera (Aiton) W.T.Aiton,0.7096774193548387,0.20952380952380953,0.3235294117647059
mobilenet_124,Capparis spinosa L.,0.3333333333333333,0.24260355029585798,0.2808219178082192
mobilenet_124,Cebatha pendula (J.R.Forst. & G.Forst.) Kuntze,0.06451612903225806,0.03571428571428571,0.04597701149425287
mobilenet_124,"Cenchrus divisus (J.F.Gmel.) Verloove, Govaerts & Buttler",0.5,0.08235294117647059,0.1414141414141414
mobilenet_124,Deverra tortuosa (Desf.) DC.,0.18181818181818182,0.03076923076923077,0.05263157894736842
mobilenet_124,Deverra triradiata Hochst. ex Boiss.,0.14285714285714285,0.1,0.11764705882352941
mobilenet_124,Diplotaxis harra (Forssk.) Boiss.,0.6770833333333334,0.2480916030534351,0.36312849162011174
mobilenet_124,Echinops glaberrimus DC.,0.13636363636363635,0.1956521739130435,0.16071428571428573
mobilenet_124,Ephedra alata Decne.,0.0684931506849315,0.17857142857142858,0.09900990099009901
mobilenet_124,Farsetia aegyptia Turra,0.4225352112676056,0.13274336283185842,0.20202020202020202
mobilenet_124,Gymnocarpos decander Forssk.,0.6638655462184874,0.2872727272727273,0.4010152284263959
mobilenet_124,Haloxylon salicornicum (Moq.) Bunge ex Boiss.,0.19672131147540983,0.07407407407407407,0.10762331838565023
